,Date,User,Tweet,Likes,Retweets,Replies
65,2022-04-05 13:07:13+00:00,raulcotrina,@assemblerinstit @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Hola. Lo tenemos en formato Json en Git. https://t.co/x2dnE2VFAB Podéis hacer un PR ;),3,0,0
66,2022-04-05 13:03:14+00:00,assemblerinstit,"@raulcotrina @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Muy buenas Raúl, nos parece una idea increíble. ¿Me dices donde te pasamos la información de los cursos que tenemos actualmente?",0,0,1
67,2022-03-31 20:04:25+00:00,TheBridge_Tech,"Cuando piensas en un hacker... ¿Te imaginas a una mujer? 🤔 ""Son muy pocas las mujeres que deciden apostar por estudios de tecnología, hay que fomentar la inclusión de las mujeres en un mercado laboral con un futuro muy prometedor"", explica @ikerarceseco 👩‍💻https://t.co/UQgHL1tLCQ",0,0,0
68,2022-03-30 11:12:07+00:00,TheFringeLABS,Hemos colaborado con @TheBridge_Tech aportando el proyecto final de los alumnos para el Desafío de Tripulaciones y premiando a los 3 grupos con una donación para la ONG de su elección. Increíbles resultados en tiempo récord🤩 #apoyamoseltalentotech https://t.co/vJ5HdV6gSN https://t.co/LpSUpFtdfp,4,1,0
69,2022-03-30 10:01:47+00:00,TheBridge_Tech,"¡Llegó el día! Hoy es el #DesafiodeTripulaciones ⚔ en el campus de #Valencia ¡Mucha suerte a toda esa primera promoción valenciana presentando sus súper webapps! No te lo pierdas ▶ Sigue ya el DIRECTO aquí https://t.co/lLXz2wKxaX

#datascience #fullstackwebdevelopment #bootcamp",1,2,0
70,2022-03-30 09:35:11+00:00,vocentoeventos,"Seguimos con la 2mesa #ForoVocentoEducación: Formación para el futuro y las nuevas profesionales que vienen. Participan:
▪️ @JuanJoseJuarez @FBertelsmann
▪️ @mortizcotro @FundCreate
▪️ Iker Arce @TheBridge_Tech
▪️ Gabriel Masfurroll @UABBarcelona
🔴DIRECTO https://t.co/8xxFlqVpCP https://t.co/3qAkFVQ9bs",8,2,0
71,2022-03-30 07:47:54+00:00,TheBridge_Tech,"A partir de las 11h nuestro CEO @ikerarceseco participa en el #ForoVocentoEducacion en el debate ""Formación para el futuro y las nuevas profesiones que vienen"" organizado por @Vocento (@vocentoeventos) y @KreabEspana. Síguelo🔴EN DIRECTO ➡ https://t.co/JFh6RBMBd4 https://t.co/OvbZKL0yVZ https://t.co/RJvjrxULch",4,0,0
72,2022-03-29 16:26:46+00:00,vocentoeventos,"2⃣ FORMACIÓN PARA EL FUTURO Y LAS NUEVAS PROFESIONES QUE VIENEN
▪️ @JuanJoseJuarez (@FBertelsmann)
▪️ @mortizcotro (@FundCreate)
▪️ Iker Arce (@TheBridge_Tech)
▪️ Gabriel Masfurroll (@UABBarcelona)
Modera: Antonio San José (@asanjoseperez) (@KreabEspana) 
#ForoVocentoEducación https://t.co/kMY2q5gEZE",3,1,1
73,2022-03-26 13:30:10+00:00,nodosenlared,"Jaime, estoy seguro de que en @TheBridge_Tech , la aceleradora de talento digital líder en nuestro país, estarían encantados de ayudarte en la organización de ese Hackhaton. Al menos yo lo estoy 😉 https://t.co/60ybQN84qk",6,2,0
74,2022-03-24 18:17:28+00:00,ENCamaraSevilla,"La @camaradesevilla organiza junto al Grupo Planeta y su presidente José Lara, este encuentro con las empresas #ClubCámara para recoger las necesidades del #SectorTecnológico y presentar nuestra oferta de #Bootcamps de la mano de @TheBridge_Tech https://t.co/rJkWd5MKT8 https://t.co/J6SHTHXylM",7,4,0
75,2022-03-24 16:18:18+00:00,TheBridge_Tech,Hoy han venido a visitarnos los alumnos de @itep_es de #DAM #ASIR y #MARKETING para conocer nuestro campus de Madrid y el futuro de profesiones tecnológicas como las suyas ¡Esperamos que hayais pasado una estupenda jornada! Sois los profesionales #techie del mañana 👩‍💻🧑‍💻 https://t.co/U1gPnU7TgI,1,0,0
76,2022-03-24 10:30:11+00:00,TheBridge_Tech,"¿Crees que lo sabes todo?🤓¡Déjate sorprender! Adéntrate en el mundo de la #ProgramacionWeb y las criptomonedas, conoce la metolodogía #Scrum o profundiza en el #deeplearning. Apúntate a nuestros talleres gratuitos y amplía horizontes 👉https://t.co/bYfstQB02R https://t.co/O1Y4J6puMR",0,0,0
77,2022-03-18 08:19:22+00:00,TheBridge_Tech,"¡Comenzamos el #Desafiodetripulaciones ⚔ de la promo full time de noviembre! El tema de los proyectos: el #coliving, con la colaboración de @TheFringeLABS  ¡No te pierdas las web apps que han creado! 🔴EN DIRECTO https://t.co/PepMdUmCMu",5,4,0
78,2022-03-17 18:30:10+00:00,CourseReport,"🎉 Congrats to @simplilearn, @TheBridge_Tech, @thinkful, and @udacity who made it on our list of the 14 Best Digital Marketing Bootcamps of 2022! https://t.co/tgUf4qX2DX https://t.co/MIhFTrM9lA",0,0,0
79,2022-03-17 11:18:27+00:00,TheBridge_Tech,"Más de 300.000 expertos en #ciberseguridad se han unido en una especie de ""ejército IT"" en Ucrania para llevar a cabo ataques informáticos contra infraestructuras y empresas rusas 👾🔓https://t.co/CERWGVqWQw",0,0,0
80,2022-03-17 08:52:24+00:00,carlosguardiola,"En 2021, las instituciones que forman profesionales digitales con modelos de Bootcamp prepararon a más personas que el 94% de las universidades españolas @Adalab_Digital @TheBridge_Tech @ironhack https://t.co/zyzeLrNdLo",5,0,1
81,2022-03-15 19:01:18+00:00,CourseReport,"🔐 We've combed through student &amp; alumni reviews to find the 17 Best Cyber Security Bootcamps of 2022, including @Level_Effect, @nexgent, @simplilearn, @Springboard, and @TheBridge_Tech! 
https://t.co/t9VCetS80T https://t.co/uhS3m8KSBT",3,2,0
82,2022-03-14 23:28:02+00:00,soyelsimo,@PICKYUAN @TheBridge_Tech @PagePersonnel Yo por experiencia te diría que busques otra escuela. Cuando las cosas funcionan bien todo muy bonito ahora cuando no… no hacen nada y te dicen que esto es lo que hay 😅🤦‍♂️,0,0,0
83,2022-03-14 16:34:24+00:00,TheBridge_Tech,¡Muy contentos por todos ellos! 100% empleabilidad en la promoción de junio. Gracias desde @TheBridge_Tech por confiar y ponerlo todo tan fácil ¡Felicidades! #fullstackdevelopers #datascientists #digitalmarketers #uxuidesigners #cybersecurityanalysts 🎯💼 https://t.co/R0eGi9QXv5,3,1,0
84,2022-03-11 19:07:12+00:00,TheBridge_Tech,"👾La #ciberseguridad, más necesaria que nunca.

El #sectortecnológico pide más financiación y formación de profesionales para evitar ataques a sectores claves para la economía como energía, finanzas y transporte 🔒 https://t.co/OxY8JpRavS",0,0,0
85,2022-03-11 08:11:49+00:00,TheBridge_Tech,"¿Algún identificado en la sala? 😂

#desarrolloweb #css #fullstackdeveloper https://t.co/169UXtS1b5",0,0,0
86,2022-03-09 13:02:12+00:00,TheBridge_Tech,Faltan por salir las listas de #UXUIProductDesign #DataScience y #DesarrolloWebFullStack ¡Sería estupendo volver a aparecer!,1,0,0
87,2022-03-09 12:09:36+00:00,TheBridge_Tech,¡El #bootcamp de #Ciberseguridad de @TheBridge_Tech vuelve a estar entre los mejores bootcamps del mundo! Y este año también nos estrenamos con el de #DigitalMarketingOps que entra por primera vez en la lista de #CourseReport! Una súper noticia👏👏¡Gracias a todos! #bestbootcamps https://t.co/3xShvybDST,2,2,1
88,2022-03-05 15:02:16+00:00,pablooliete,"Día para agradecer a @TheBridge_Tech y @Glovo_ES la oportunidad que han dado a estos dos cracks para formarse con @codeorg en programación por bloques en un curso de 48 horas de duración.
Bravo 🙌 
🔝🦸🏻‍♂️🦸🏻‍♀️🏭🇪🇸 https://t.co/ZTCrroHQTc",13,0,0
